sample_id,conic_index,image_path,mask_path,class_label_path,image_height,image_width,count_total,neutrophil,epithelial,lymphocyte,plasma,eosinophil,connective,input_row_index,num_objects,total_mask_area,foreground_fraction,mean_area,median_area,std_area,mean_eccentricity,mean_solidity,mean_circularity,embedding_input_row_index,embedding_id,resolved_image_path,embedding_path,embedding_format,embedding_row_offset,embedding_dim,total_nuclei,fraction_neutrophil,fraction_epithelial,fraction_lymphocyte,fraction_plasma,fraction_eosinophil,fraction_connective,dominant_class,dominant_fraction,richness_label
crag_1-0000,64,data/conic_liz/images/crag_1-0000_image.png,data/conic_liz/masks/crag_1-0000_mask.png,data/conic_liz/class_labels/crag_1-0000_class_labels.png,256,256,33,0,0,0,0,0,33,64,37,6002,0.091583251953125,162.21621621621622,153.0,78.97044782022085,0.8158164175943136,0.9389429189546816,0.8495832332221216,64,crag_1-0000,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0000_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,0,1536,33,0.0,0.0,0.0,0.0,0.0,1.0,connective,1.0,connective-tissue-rich
crag_1-0001,65,data/conic_liz/images/crag_1-0001_image.png,data/conic_liz/masks/crag_1-0001_mask.png,data/conic_liz/class_labels/crag_1-0001_class_labels.png,256,256,10,0,0,1,0,0,9,65,18,1693,0.0258331298828125,94.05555555555556,80.5,48.15769492248268,0.8101923862719955,0.9352869282805868,0.8814291368665332,65,crag_1-0001,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0001_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,1,1536,10,0.0,0.0,0.1,0.0,0.0,0.9,connective,0.9,connective-tissue-rich
crag_1-0002,66,data/conic_liz/images/crag_1-0002_image.png,data/conic_liz/masks/crag_1-0002_mask.png,data/conic_liz/class_labels/crag_1-0002_class_labels.png,256,256,11,0,0,0,0,0,11,66,14,1166,0.017791748046875,83.28571428571429,85.0,43.430451087142224,0.8203222746751788,0.9145537987183688,0.87329453979312,66,crag_1-0002,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0002_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,2,1536,11,0.0,0.0,0.0,0.0,0.0,1.0,connective,1.0,connective-tissue-rich
crag_1-0003,67,data/conic_liz/images/crag_1-0003_image.png,data/conic_liz/masks/crag_1-0003_mask.png,data/conic_liz/class_labels/crag_1-0003_class_labels.png,256,256,10,0,0,0,0,0,10,67,12,1892,0.02886962890625,157.66666666666666,140.5,75.55277772671381,0.7985587172328817,0.9463361529629676,0.8649207699702678,67,crag_1-0003,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0003_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,3,1536,10,0.0,0.0,0.0,0.0,0.0,1.0,connective,1.0,connective-tissue-rich
crag_1-0004,68,data/conic_liz/images/crag_1-0004_image.png,data/conic_liz/masks/crag_1-0004_mask.png,data/conic_liz/class_labels/crag_1-0004_class_labels.png,256,256,5,0,0,0,0,0,5,68,7,950,0.014495849609375,135.71428571428572,140.0,69.40916836457001,0.8483814833919749,0.9261953824736716,0.7966017918590049,68,crag_1-0004,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0004_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,4,1536,5,0.0,0.0,0.0,0.0,0.0,1.0,connective,1.0,connective-tissue-rich
crag_1-0005,69,data/conic_liz/images/crag_1-0005_image.png,data/conic_liz/masks/crag_1-0005_mask.png,data/conic_liz/class_labels/crag_1-0005_class_labels.png,256,256,36,0,0,1,0,0,35,69,45,6750,0.102996826171875,150.0,150.0,76.67246354896044,0.8440474846132293,0.940419921065688,0.800901966708366,69,crag_1-0005,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0005_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,5,1536,36,0.0,0.0,0.027777777777777776,0.0,0.0,0.9722222222222222,connective,0.9722222222222222,connective-tissue-rich
crag_1-0006,70,data/conic_liz/images/crag_1-0006_image.png,data/conic_liz/masks/crag_1-0006_mask.png,data/conic_liz/class_labels/crag_1-0006_class_labels.png,256,256,30,0,0,4,0,0,26,70,41,3756,0.05731201171875,91.60975609756098,77.0,61.994444302136905,0.7687849304737503,0.9414558769052804,1.0185971664243452,70,crag_1-0006,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0006_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,6,1536,30,0.0,0.0,0.13333333333333333,0.0,0.0,0.8666666666666667,connective,0.8666666666666667,connective-tissue-rich
crag_1-0007,71,data/conic_liz/images/crag_1-0007_image.png,data/conic_liz/masks/crag_1-0007_mask.png,data/conic_liz/class_labels/crag_1-0007_class_labels.png,256,256,16,0,0,0,0,0,16,71,20,2405,0.0366973876953125,120.25,131.0,52.17937811051412,0.8525832377783698,0.9131828227189708,0.7857408722266992,71,crag_1-0007,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0007_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,7,1536,16,0.0,0.0,0.0,0.0,0.0,1.0,connective,1.0,connective-tissue-rich
crag_1-0008,72,data/conic_liz/images/crag_1-0008_image.png,data/conic_liz/masks/crag_1-0008_mask.png,data/conic_liz/class_labels/crag_1-0008_class_labels.png,256,256,15,0,0,1,0,0,14,72,21,2106,0.032135009765625,100.28571428571428,105.0,62.20330940295919,0.719395306517948,0.9381909868764912,0.900045538228419,72,crag_1-0008,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0008_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,8,1536,15,0.0,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,connective,0.9333333333333333,connective-tissue-rich
crag_1-0009,73,data/conic_liz/images/crag_1-0009_image.png,data/conic_liz/masks/crag_1-0009_mask.png,data/conic_liz/class_labels/crag_1-0009_class_labels.png,256,256,20,0,0,2,0,0,18,73,27,2866,0.043731689453125,106.14814814814817,83.0,91.35875708748804,0.7882716887256566,0.936415381794756,0.9012202372640404,73,crag_1-0009,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/images/crag_1-0009_image.png,/share/lab_teng/trainee/tusharsingh/cell-seg/outputs/embeddings/part-000002.pt,pt,9,1536,20,0.0,0.0,0.1,0.0,0.0,0.9,connective,0.9,connective-tissue-rich
