model_name,patient_id,relative_mask_path,match_key,image_id,status,error_message,gt_path,pred_path,gt_relative_path,pred_relative_path,gt_file_name,pred_file_name,pixel_tp,pixel_tn,pixel_fp,pixel_fn,pixel_precision,pixel_recall,pixel_f1,pixel_dice,instance_tp,instance_fp,instance_fn,instance_object_precision,instance_object_recall,instance_rq,instance_sq,instance_pq,instance_match_count,instance_unmatched_gt_count,instance_unmatched_pred_count
stardist,,data/conic_liz/masks/consep_1-0000_mask.png,images/consep_1-0000_image.png,images/consep_1-0000_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_1-0000_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_1-0000_image.png,data/conic_liz/masks/consep_1-0000_mask.png,images/consep_1-0000_image.png,consep_1-0000_mask.png,consep_1-0000_image.png,4648,48901,846,11141,0.8460138332726611,0.2943821647982773,0.4367805290607527,0.4367805290607527,29,3,116,0.90625,0.2,0.327683615819209,0.787758255170214,0.25813547344560683,29,116,3
stardist,,data/conic_liz/masks/consep_1-0001_mask.png,images/consep_1-0001_image.png,images/consep_1-0001_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_1-0001_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_1-0001_image.png,data/conic_liz/masks/consep_1-0001_mask.png,images/consep_1-0001_image.png,consep_1-0001_mask.png,consep_1-0001_image.png,2893,51711,587,10345,0.8313218390804598,0.21853754343556428,0.34609403038640985,0.34609403038640985,17,2,119,0.8947368421052632,0.125,0.21935483870967742,0.7955265353453114,0.17450259484993927,17,119,2
stardist,,data/conic_liz/masks/consep_1-0002_mask.png,images/consep_1-0002_image.png,images/consep_1-0002_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_1-0002_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_1-0002_image.png,data/conic_liz/masks/consep_1-0002_mask.png,images/consep_1-0002_image.png,consep_1-0002_mask.png,consep_1-0002_image.png,2994,47753,484,14305,0.8608395629672225,0.17307358806867448,0.2882033017278722,0.2882033017278722,21,1,181,0.9545454545454546,0.10396039603960396,0.1875,0.7726506790696318,0.14487200232555594,21,181,1
stardist,,data/conic_liz/masks/consep_1-0003_mask.png,images/consep_1-0003_image.png,images/consep_1-0003_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_1-0003_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_1-0003_image.png,data/conic_liz/masks/consep_1-0003_mask.png,images/consep_1-0003_image.png,consep_1-0003_mask.png,consep_1-0003_image.png,1628,55826,683,7399,0.7044569450454349,0.1803478453528304,0.2871758687599224,0.2871758687599224,11,2,84,0.8461538461538461,0.11578947368421053,0.2037037037037037,0.7402613477661274,0.1507939782486556,11,84,2
stardist,,data/conic_liz/masks/consep_10-0000_mask.png,images/consep_10-0000_image.png,images/consep_10-0000_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_10-0000_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_10-0000_image.png,data/conic_liz/masks/consep_10-0000_mask.png,images/consep_10-0000_image.png,consep_10-0000_mask.png,consep_10-0000_image.png,1542,46405,409,17180,0.7903639159405433,0.08236299540647367,0.1491800899724278,0.1491800899724278,3,4,229,0.42857142857142855,0.01293103448275862,0.02510460251046025,0.774271069980594,0.019437767447211568,3,229,4
stardist,,data/conic_liz/masks/consep_10-0001_mask.png,images/consep_10-0001_image.png,images/consep_10-0001_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_10-0001_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_10-0001_image.png,data/conic_liz/masks/consep_10-0001_mask.png,images/consep_10-0001_image.png,consep_10-0001_mask.png,consep_10-0001_image.png,3239,45680,596,16021,0.8445893089960886,0.16817237798546208,0.28049361333621997,0.28049361333621997,11,6,231,0.6470588235294118,0.045454545454545456,0.08494208494208494,0.7317538592797256,0.06215669847163692,11,231,6
stardist,,data/conic_liz/masks/consep_10-0002_mask.png,images/consep_10-0002_image.png,images/consep_10-0002_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_10-0002_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_10-0002_image.png,data/conic_liz/masks/consep_10-0002_mask.png,images/consep_10-0002_image.png,consep_10-0002_mask.png,consep_10-0002_image.png,2816,48394,996,13330,0.7387198321091291,0.1744085222346092,0.2821926044693857,0.2821926044693857,5,7,152,0.4166666666666667,0.03184713375796178,0.05917159763313609,0.7302650598359554,0.043210950286151205,5,152,7
stardist,,data/conic_liz/masks/consep_10-0003_mask.png,images/consep_10-0003_image.png,images/consep_10-0003_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_10-0003_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_10-0003_image.png,data/conic_liz/masks/consep_10-0003_mask.png,images/consep_10-0003_image.png,consep_10-0003_mask.png,consep_10-0003_image.png,2291,49664,708,12873,0.7639213071023675,0.15108150883671853,0.25227110058910973,0.25227110058910973,6,5,190,0.5454545454545454,0.030612244897959183,0.057971014492753624,0.7212738086511671,0.04181297441456041,6,190,5
stardist,,data/conic_liz/masks/consep_11-0000_mask.png,images/consep_11-0000_image.png,images/consep_11-0000_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_11-0000_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_11-0000_image.png,data/conic_liz/masks/consep_11-0000_mask.png,images/consep_11-0000_image.png,consep_11-0000_mask.png,consep_11-0000_image.png,604,52778,162,11992,0.7885117493472585,0.04795173070816132,0.09040562790001497,0.09040562790001497,7,1,158,0.875,0.04242424242424243,0.08092485549132948,0.7152958671568455,0.05788521468321293,7,158,1
stardist,,data/conic_liz/masks/consep_11-0001_mask.png,images/consep_11-0001_image.png,images/consep_11-0001_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_11-0001_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_11-0001_image.png,data/conic_liz/masks/consep_11-0001_mask.png,images/consep_11-0001_image.png,consep_11-0001_mask.png,consep_11-0001_image.png,1125,52450,398,11563,0.7386736703873933,0.08866645649432535,0.15832805573147563,0.15832805573147563,12,3,137,0.8,0.08053691275167785,0.14634146341463414,0.7252114534645172,0.1061285053850513,12,137,3
stardist,,data/conic_liz/masks/consep_11-0002_mask.png,images/consep_11-0002_image.png,images/consep_11-0002_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_11-0002_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_11-0002_image.png,data/conic_liz/masks/consep_11-0002_mask.png,images/consep_11-0002_image.png,consep_11-0002_mask.png,consep_11-0002_image.png,654,54713,202,9967,0.764018691588785,0.06157612277563318,0.11396706456391043,0.11396706456391043,4,2,146,0.6666666666666666,0.02666666666666667,0.05128205128205128,0.6472120528520786,0.03319036168472198,4,146,2
stardist,,data/conic_liz/masks/consep_11-0003_mask.png,images/consep_11-0003_image.png,images/consep_11-0003_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_11-0003_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_11-0003_image.png,data/conic_liz/masks/consep_11-0003_mask.png,images/consep_11-0003_image.png,consep_11-0003_mask.png,consep_11-0003_image.png,1344,54109,378,9705,0.7804878048780488,0.12163996741786587,0.21047686163965235,0.21047686163965235,17,0,135,1.0,0.1118421052631579,0.20118343195266272,0.720936313886811,0.14504044184705076,17,135,0
stardist,,data/conic_liz/masks/consep_12-0000_mask.png,images/consep_12-0000_image.png,images/consep_12-0000_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_12-0000_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_12-0000_image.png,data/conic_liz/masks/consep_12-0000_mask.png,images/consep_12-0000_image.png,consep_12-0000_mask.png,consep_12-0000_image.png,253,64302,298,683,0.4591651542649728,0.2702991452991453,0.3402824478816409,0.3402824478816409,1,3,11,0.25,0.08333333333333333,0.125,0.7916666666666666,0.09895833333333333,1,11,3
stardist,,data/conic_liz/masks/consep_12-0001_mask.png,images/consep_12-0001_image.png,images/consep_12-0001_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_12-0001_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_12-0001_image.png,data/conic_liz/masks/consep_12-0001_mask.png,images/consep_12-0001_image.png,consep_12-0001_mask.png,consep_12-0001_image.png,223,63008,304,2001,0.42314990512333966,0.10026978417266187,0.16212286441294074,0.16212286441294074,1,2,28,0.3333333333333333,0.034482758620689655,0.0625,0.7197452229299363,0.044984076433121016,1,28,2
stardist,,data/conic_liz/masks/consep_12-0002_mask.png,images/consep_12-0002_image.png,images/consep_12-0002_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_12-0002_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_12-0002_image.png,data/conic_liz/masks/consep_12-0002_mask.png,images/consep_12-0002_image.png,consep_12-0002_mask.png,consep_12-0002_image.png,31,59351,236,5918,0.11610486891385768,0.005210959825180703,0.009974259974259974,0.009974259974259974,0,2,49,0.0,0.0,0.0,0.0,0.0,0,49,2
stardist,,data/conic_liz/masks/consep_12-0003_mask.png,images/consep_12-0003_image.png,images/consep_12-0003_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_12-0003_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_12-0003_image.png,data/conic_liz/masks/consep_12-0003_mask.png,images/consep_12-0003_image.png,consep_12-0003_mask.png,consep_12-0003_image.png,672,60992,483,3389,0.5818181818181818,0.16547648362472298,0.25766871165644173,0.25766871165644173,4,4,38,0.5,0.09523809523809523,0.16,0.663926634487354,0.10622826151797664,4,38,4
stardist,,data/conic_liz/masks/consep_13-0000_mask.png,images/consep_13-0000_image.png,images/consep_13-0000_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_13-0000_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_13-0000_image.png,data/conic_liz/masks/consep_13-0000_mask.png,images/consep_13-0000_image.png,consep_13-0000_mask.png,consep_13-0000_image.png,3590,49252,789,11905,0.8198218771408997,0.23168764117457244,0.36127603904598976,0.36127603904598976,34,3,130,0.918918918918919,0.2073170731707317,0.3383084577114428,0.7578409528004582,0.25638400393249333,34,130,3
stardist,,data/conic_liz/masks/consep_13-0001_mask.png,images/consep_13-0001_image.png,images/consep_13-0001_image.png,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/conic_liz/masks/consep_13-0001_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/conic_liz/stardist/images/consep_13-0001_image.png,data/conic_liz/masks/consep_13-0001_mask.png,images/consep_13-0001_image.png,consep_13-0001_mask.png,consep_13-0001_image.png,3042,47883,926,13685,0.766633064516129,0.18186166078794763,0.2939840541193525,0.2939840541193525,32,3,151,0.9142857142857143,0.17486338797814208,0.29357798165137616,0.7160743896510716,0.21022367402600267,32,151,3
