input_row_index,sample_id,conic_index,image_path,mask_path,class_label_path,image_height,image_width,count_total,neutrophil,epithelial,lymphocyte,plasma,eosinophil,connective
0,consep_1-0000,0,data/conic_liz/images/consep_1-0000_image.png,data/conic_liz/masks/consep_1-0000_mask.png,data/conic_liz/class_labels/consep_1-0000_class_labels.png,256,256,117,0,117,0,0,0,0
1,consep_1-0001,1,data/conic_liz/images/consep_1-0001_image.png,data/conic_liz/masks/consep_1-0001_mask.png,data/conic_liz/class_labels/consep_1-0001_class_labels.png,256,256,104,0,95,1,0,0,8
2,consep_1-0002,2,data/conic_liz/images/consep_1-0002_image.png,data/conic_liz/masks/consep_1-0002_mask.png,data/conic_liz/class_labels/consep_1-0002_class_labels.png,256,256,177,0,172,3,0,0,2
3,consep_1-0003,3,data/conic_liz/images/consep_1-0003_image.png,data/conic_liz/masks/consep_1-0003_mask.png,data/conic_liz/class_labels/consep_1-0003_class_labels.png,256,256,66,0,56,0,0,0,10
4,consep_10-0000,4,data/conic_liz/images/consep_10-0000_image.png,data/conic_liz/masks/consep_10-0000_mask.png,data/conic_liz/class_labels/consep_10-0000_class_labels.png,256,256,176,0,169,7,0,0,0
5,consep_10-0001,5,data/conic_liz/images/consep_10-0001_image.png,data/conic_liz/masks/consep_10-0001_mask.png,data/conic_liz/class_labels/consep_10-0001_class_labels.png,256,256,193,0,181,4,0,0,8
6,consep_10-0002,6,data/conic_liz/images/consep_10-0002_image.png,data/conic_liz/masks/consep_10-0002_mask.png,data/conic_liz/class_labels/consep_10-0002_class_labels.png,256,256,131,0,118,5,2,0,6
7,consep_10-0003,7,data/conic_liz/images/consep_10-0003_image.png,data/conic_liz/masks/consep_10-0003_mask.png,data/conic_liz/class_labels/consep_10-0003_class_labels.png,256,256,167,0,152,8,0,0,7
8,consep_11-0000,8,data/conic_liz/images/consep_11-0000_image.png,data/conic_liz/masks/consep_11-0000_mask.png,data/conic_liz/class_labels/consep_11-0000_class_labels.png,256,256,130,0,45,49,7,3,26
9,consep_11-0001,9,data/conic_liz/images/consep_11-0001_image.png,data/conic_liz/masks/consep_11-0001_mask.png,data/conic_liz/class_labels/consep_11-0001_class_labels.png,256,256,128,0,60,37,14,0,17
10,consep_11-0002,10,data/conic_liz/images/consep_11-0002_image.png,data/conic_liz/masks/consep_11-0002_mask.png,data/conic_liz/class_labels/consep_11-0002_class_labels.png,256,256,120,0,67,31,4,0,18
11,consep_11-0003,11,data/conic_liz/images/consep_11-0003_image.png,data/conic_liz/masks/consep_11-0003_mask.png,data/conic_liz/class_labels/consep_11-0003_class_labels.png,256,256,122,0,53,32,9,1,27
12,consep_12-0000,12,data/conic_liz/images/consep_12-0000_image.png,data/conic_liz/masks/consep_12-0000_mask.png,data/conic_liz/class_labels/consep_12-0000_class_labels.png,256,256,6,0,0,2,2,0,2
13,consep_12-0001,13,data/conic_liz/images/consep_12-0001_image.png,data/conic_liz/masks/consep_12-0001_mask.png,data/conic_liz/class_labels/consep_12-0001_class_labels.png,256,256,18,0,0,7,0,0,11
14,consep_12-0002,14,data/conic_liz/images/consep_12-0002_image.png,data/conic_liz/masks/consep_12-0002_mask.png,data/conic_liz/class_labels/consep_12-0002_class_labels.png,256,256,43,0,0,8,0,0,35
15,consep_12-0003,15,data/conic_liz/images/consep_12-0003_image.png,data/conic_liz/masks/consep_12-0003_mask.png,data/conic_liz/class_labels/consep_12-0003_class_labels.png,256,256,33,0,0,5,2,0,26
16,consep_13-0000,16,data/conic_liz/images/consep_13-0000_image.png,data/conic_liz/masks/consep_13-0000_mask.png,data/conic_liz/class_labels/consep_13-0000_class_labels.png,256,256,120,0,55,11,24,2,28
17,consep_13-0001,17,data/conic_liz/images/consep_13-0001_image.png,data/conic_liz/masks/consep_13-0001_mask.png,data/conic_liz/class_labels/consep_13-0001_class_labels.png,256,256,143,0,69,19,30,1,24
18,consep_13-0002,18,data/conic_liz/images/consep_13-0002_image.png,data/conic_liz/masks/consep_13-0002_mask.png,data/conic_liz/class_labels/consep_13-0002_class_labels.png,256,256,127,0,56,10,33,1,27
19,consep_13-0003,19,data/conic_liz/images/consep_13-0003_image.png,data/conic_liz/masks/consep_13-0003_mask.png,data/conic_liz/class_labels/consep_13-0003_class_labels.png,256,256,164,0,46,17,53,4,44
20,consep_14-0000,20,data/conic_liz/images/consep_14-0000_image.png,data/conic_liz/masks/consep_14-0000_mask.png,data/conic_liz/class_labels/consep_14-0000_class_labels.png,256,256,59,0,58,1,0,0,0
21,consep_14-0001,21,data/conic_liz/images/consep_14-0001_image.png,data/conic_liz/masks/consep_14-0001_mask.png,data/conic_liz/class_labels/consep_14-0001_class_labels.png,256,256,68,0,61,1,0,0,6
22,consep_14-0002,22,data/conic_liz/images/consep_14-0002_image.png,data/conic_liz/masks/consep_14-0002_mask.png,data/conic_liz/class_labels/consep_14-0002_class_labels.png,256,256,61,0,46,4,0,0,11
23,consep_14-0003,23,data/conic_liz/images/consep_14-0003_image.png,data/conic_liz/masks/consep_14-0003_mask.png,data/conic_liz/class_labels/consep_14-0003_class_labels.png,256,256,65,0,59,0,0,0,6
24,consep_15-0000,24,data/conic_liz/images/consep_15-0000_image.png,data/conic_liz/masks/consep_15-0000_mask.png,data/conic_liz/class_labels/consep_15-0000_class_labels.png,256,256,47,1,0,17,3,6,20
25,consep_15-0001,25,data/conic_liz/images/consep_15-0001_image.png,data/conic_liz/masks/consep_15-0001_mask.png,data/conic_liz/class_labels/consep_15-0001_class_labels.png,256,256,44,0,0,10,2,3,29
26,consep_15-0002,26,data/conic_liz/images/consep_15-0002_image.png,data/conic_liz/masks/consep_15-0002_mask.png,data/conic_liz/class_labels/consep_15-0002_class_labels.png,256,256,45,0,0,7,4,3,31
27,consep_15-0003,27,data/conic_liz/images/consep_15-0003_image.png,data/conic_liz/masks/consep_15-0003_mask.png,data/conic_liz/class_labels/consep_15-0003_class_labels.png,256,256,32,1,0,7,1,3,20
28,consep_16-0000,28,data/conic_liz/images/consep_16-0000_image.png,data/conic_liz/masks/consep_16-0000_mask.png,data/conic_liz/class_labels/consep_16-0000_class_labels.png,256,256,31,1,0,6,0,0,24
29,consep_16-0001,29,data/conic_liz/images/consep_16-0001_image.png,data/conic_liz/masks/consep_16-0001_mask.png,data/conic_liz/class_labels/consep_16-0001_class_labels.png,256,256,30,5,0,7,2,0,16
30,consep_16-0002,30,data/conic_liz/images/consep_16-0002_image.png,data/conic_liz/masks/consep_16-0002_mask.png,data/conic_liz/class_labels/consep_16-0002_class_labels.png,256,256,15,4,0,5,0,0,6
31,consep_16-0003,31,data/conic_liz/images/consep_16-0003_image.png,data/conic_liz/masks/consep_16-0003_mask.png,data/conic_liz/class_labels/consep_16-0003_class_labels.png,256,256,20,2,0,3,0,0,15
32,consep_2-0000,32,data/conic_liz/images/consep_2-0000_image.png,data/conic_liz/masks/consep_2-0000_mask.png,data/conic_liz/class_labels/consep_2-0000_class_labels.png,256,256,80,0,0,16,19,0,45
33,consep_2-0001,33,data/conic_liz/images/consep_2-0001_image.png,data/conic_liz/masks/consep_2-0001_mask.png,data/conic_liz/class_labels/consep_2-0001_class_labels.png,256,256,187,0,0,117,3,0,67
34,consep_2-0002,34,data/conic_liz/images/consep_2-0002_image.png,data/conic_liz/masks/consep_2-0002_mask.png,data/conic_liz/class_labels/consep_2-0002_class_labels.png,256,256,155,0,0,61,10,3,81
35,consep_2-0003,35,data/conic_liz/images/consep_2-0003_image.png,data/conic_liz/masks/consep_2-0003_mask.png,data/conic_liz/class_labels/consep_2-0003_class_labels.png,256,256,232,0,0,161,3,0,68
36,consep_3-0000,36,data/conic_liz/images/consep_3-0000_image.png,data/conic_liz/masks/consep_3-0000_mask.png,data/conic_liz/class_labels/consep_3-0000_class_labels.png,256,256,36,0,0,15,0,0,21
37,consep_3-0001,37,data/conic_liz/images/consep_3-0001_image.png,data/conic_liz/masks/consep_3-0001_mask.png,data/conic_liz/class_labels/consep_3-0001_class_labels.png,256,256,30,0,0,10,0,0,20
38,consep_3-0002,38,data/conic_liz/images/consep_3-0002_image.png,data/conic_liz/masks/consep_3-0002_mask.png,data/conic_liz/class_labels/consep_3-0002_class_labels.png,256,256,50,0,0,21,2,0,27
39,consep_3-0003,39,data/conic_liz/images/consep_3-0003_image.png,data/conic_liz/masks/consep_3-0003_mask.png,data/conic_liz/class_labels/consep_3-0003_class_labels.png,256,256,89,1,0,56,8,1,23
