model_name,patient_id,relative_mask_path,match_key,image_id,status,error_message,gt_path,pred_path,gt_relative_path,pred_relative_path,gt_file_name,pred_file_name,pixel_tp,pixel_tn,pixel_fp,pixel_fn,pixel_precision,pixel_recall,pixel_f1,pixel_dice,instance_tp,instance_fp,instance_fn,instance_object_precision,instance_object_recall,instance_rq,instance_sq,instance_pq,instance_match_count,instance_unmatched_gt_count,instance_unmatched_pred_count
cellsam,TCGA-73-4668,samples/0000_train_0000_TCGA-73-4668_lung/00000x_00000y_mask.png,0000_train_0000_TCGA-73-4668_lung.00000x_00000y,0000_train_0000_TCGA-73-4668_lung.00000x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0000_train_0000_TCGA-73-4668_lung/00000x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0000_train_0000_TCGA-73-4668_lung/00000x_00000y_image.png,samples/0000_train_0000_TCGA-73-4668_lung/00000x_00000y_mask.png,samples/0000_train_0000_TCGA-73-4668_lung/00000x_00000y_image.png,00000x_00000y_mask.png,00000x_00000y_image.png,724,49968,14707,137,0.04691854060009073,0.8408826945412311,0.08887797692118832,0.08887797692118832,6,151,1,0.03821656050955414,0.8571428571428571,0.07317073170731707,0.8207733451787557,0.06005658623259188,6,1,151
cellsam,TCGA-73-4668,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00000y_mask.png,0002_train_0002_TCGA-73-4668_lung.00000x_00000y,0002_train_0002_TCGA-73-4668_lung.00000x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0002_train_0002_TCGA-73-4668_lung/00000x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0002_train_0002_TCGA-73-4668_lung/00000x_00000y_image.png,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00000y_mask.png,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00000y_image.png,00000x_00000y_mask.png,00000x_00000y_image.png,18697,34721,10987,1131,0.6298679423258321,0.9429594512810168,0.7552512522216837,0.7552512522216837,92,52,1,0.6388888888888888,0.989247311827957,0.7763713080168776,0.8366971353904133,0.6495876494170297,92,1,52
cellsam,TCGA-73-4668,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00256y_mask.png,0002_train_0002_TCGA-73-4668_lung.00000x_00256y,0002_train_0002_TCGA-73-4668_lung.00000x_00256y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0002_train_0002_TCGA-73-4668_lung/00000x_00256y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0002_train_0002_TCGA-73-4668_lung/00000x_00256y_image.png,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00256y_mask.png,samples/0002_train_0002_TCGA-73-4668_lung/00000x_00256y_image.png,00000x_00256y_mask.png,00000x_00256y_image.png,18439,31780,14044,1273,0.5676507711726134,0.9354200487012987,0.706542772296197,0.706542772296197,93,93,5,0.5,0.9489795918367347,0.6549295774647887,0.832573459192847,0.5452769838375688,93,5,93
cellsam,TCGA-73-4668,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00000y_mask.png,0002_train_0002_TCGA-73-4668_lung.00256x_00000y,0002_train_0002_TCGA-73-4668_lung.00256x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0002_train_0002_TCGA-73-4668_lung/00256x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0002_train_0002_TCGA-73-4668_lung/00256x_00000y_image.png,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00000y_mask.png,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00000y_image.png,00256x_00000y_mask.png,00256x_00000y_image.png,14928,38357,11369,882,0.5676693158915466,0.9442125237191651,0.7090507516564941,0.7090507516564941,72,72,1,0.5,0.9863013698630136,0.663594470046083,0.830759825452654,0.5512876261068304,72,1,72
cellsam,TCGA-73-4668,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00256y_mask.png,0002_train_0002_TCGA-73-4668_lung.00256x_00256y,0002_train_0002_TCGA-73-4668_lung.00256x_00256y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0002_train_0002_TCGA-73-4668_lung/00256x_00256y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0002_train_0002_TCGA-73-4668_lung/00256x_00256y_image.png,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00256y_mask.png,samples/0002_train_0002_TCGA-73-4668_lung/00256x_00256y_image.png,00256x_00256y_mask.png,00256x_00256y_image.png,9506,45362,10288,380,0.4802465393553602,0.9615618045721221,0.6405660377358491,0.6405660377358491,50,57,6,0.4672897196261682,0.8928571428571429,0.6134969325153374,0.8334032276681718,0.5112903237228048,50,6,57
cellsam,TCGA-55-1594,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00000y_mask.png,0004_train_0004_TCGA-55-1594_lung.00000x_00000y,0004_train_0004_TCGA-55-1594_lung.00000x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0004_train_0004_TCGA-55-1594_lung/00000x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0004_train_0004_TCGA-55-1594_lung/00000x_00000y_image.png,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00000y_mask.png,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00000y_image.png,00000x_00000y_mask.png,00000x_00000y_image.png,11596,44151,8963,826,0.564035215720609,0.9335050716470777,0.7031927473393772,0.7031927473393772,60,66,2,0.47619047619047616,0.967741935483871,0.6382978723404256,0.82117503863707,0.5241542799811084,60,2,66
cellsam,TCGA-55-1594,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00256y_mask.png,0004_train_0004_TCGA-55-1594_lung.00000x_00256y,0004_train_0004_TCGA-55-1594_lung.00000x_00256y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0004_train_0004_TCGA-55-1594_lung/00000x_00256y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0004_train_0004_TCGA-55-1594_lung/00000x_00256y_image.png,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00256y_mask.png,samples/0004_train_0004_TCGA-55-1594_lung/00000x_00256y_image.png,00000x_00256y_mask.png,00000x_00256y_image.png,14925,43267,6292,1052,0.7034453504265448,0.9341553483132002,0.802548798193257,0.802548798193257,65,33,7,0.6632653061224489,0.9027777777777778,0.7647058823529411,0.84434472531577,0.6456753781826476,65,7,33
cellsam,TCGA-55-1594,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00000y_mask.png,0004_train_0004_TCGA-55-1594_lung.00256x_00000y,0004_train_0004_TCGA-55-1594_lung.00256x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0004_train_0004_TCGA-55-1594_lung/00256x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0004_train_0004_TCGA-55-1594_lung/00256x_00000y_image.png,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00000y_mask.png,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00000y_image.png,00256x_00000y_mask.png,00256x_00000y_image.png,18166,39800,6429,1141,0.7386054076031714,0.9409022634277723,0.8275704979272015,0.8275704979272015,75,28,7,0.7281553398058253,0.9146341463414634,0.8108108108108109,0.8441581403045306,0.6844525461928627,75,7,28
cellsam,TCGA-55-1594,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00256y_mask.png,0004_train_0004_TCGA-55-1594_lung.00256x_00256y,0004_train_0004_TCGA-55-1594_lung.00256x_00256y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0004_train_0004_TCGA-55-1594_lung/00256x_00256y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0004_train_0004_TCGA-55-1594_lung/00256x_00256y_image.png,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00256y_mask.png,samples/0004_train_0004_TCGA-55-1594_lung/00256x_00256y_image.png,00256x_00256y_mask.png,00256x_00256y_image.png,12196,45334,7303,703,0.6254679727165495,0.945499651135747,0.7528859806160874,0.7528859806160874,52,31,5,0.6265060240963856,0.9122807017543859,0.7428571428571429,0.8172684716517824,0.6071137217984669,52,5,31
cellsam,TCGA-55-1594,samples/0005_train_0005_TCGA-55-1594_lung/00000x_00000y_mask.png,0005_train_0005_TCGA-55-1594_lung.00000x_00000y,0005_train_0005_TCGA-55-1594_lung.00000x_00000y,ok,,/share/lab_teng/trainee/tusharsingh/cell-seg/data/Monusac/rescaled/tiles_256/samples/0005_train_0005_TCGA-55-1594_lung/00000x_00000y_mask.png,/share/lab_teng/trainee/tusharsingh/cell-seg/inference/benchmarking/Monusac/cellsam/samples/0005_train_0005_TCGA-55-1594_lung/00000x_00000y_image.png,samples/0005_train_0005_TCGA-55-1594_lung/00000x_00000y_mask.png,samples/0005_train_0005_TCGA-55-1594_lung/00000x_00000y_image.png,00000x_00000y_mask.png,00000x_00000y_image.png,10605,48402,5948,581,0.6406693650697759,0.9480600750938674,0.7646274198781499,0.7646274198781499,34,42,2,0.4473684210526316,0.9444444444444444,0.6071428571428571,0.8453006332301023,0.5132182416039907,34,2,42
